actual,predicted,error,abs_error
985143.8599999992,275055.36311966594,710088.4968803332,710088.4968803332
1329972.1600000001,620140.325766555,709831.8342334451,709831.8342334451
1282258.2700000005,572682.2965970265,709575.973402974,709575.973402974
1080859.2900000007,372169.72840463853,708689.5615953621,708689.5615953621
1041779.8900000006,333180.391141412,708599.4988585885,708599.4988585885
1000725.0899999996,292203.2922147743,708521.7977852253,708521.7977852253
136302.38,843098.4852310546,-706796.1052310546,706796.1052310546
1230782.7699999998,524373.0622630849,706409.7077369149,706409.7077369149
890556.4399999997,184467.31636268809,706089.1236373116,706089.1236373116
1338853.0700000012,634895.4793905948,703957.5906094065,703957.5906094065
1018090.8099999999,316315.5716770874,701775.2383229125,701775.2383229125
1120502.6600000006,421211.8729624628,699290.7870375379,699290.7870375379
869122.6399999998,170177.23486551558,698945.4051344842,698945.4051344842
1421231.2800000003,723850.0760080159,697381.2039919844,697381.2039919844
1020519.5499999999,326260.71251556673,694258.8374844332,694258.8374844332
580100.5200000003,1273425.7388726664,-693325.2188726661,693325.2188726661
513823.06,1205903.6162437494,-692080.5562437493,692080.5562437493
896651.5499999993,206941.5185168254,689710.031483174,689710.031483174
436506.74999999965,1126118.2882490028,-689611.5382490031,689611.5382490031
2469460.8999999985,1782278.4871892487,687182.4128107498,687182.4128107498
1747126.850000001,1061894.8824732366,685231.9675267644,685231.9675267644
1160370.1799999992,475219.1520207949,685151.0279792043,685151.0279792043
925814.8600000005,240828.37889712307,684986.4811028774,684986.4811028774
2450770.689999999,1765916.3086599438,684854.3813400553,684854.3813400553
947758.5200000007,263173.16280037386,684585.3571996269,684585.3571996269
1062891.9700000004,379144.11207054916,683747.8579294513,683747.8579294513
1155941.8200000008,473956.7205172552,681985.0994827456,681985.0994827456
1213499.31,532381.5261977469,681117.7838022532,681117.7838022532
796102.8399999995,115068.54097963312,681034.2990203664,681034.2990203664
1442501.859999999,761513.8952709978,680987.9647290012,680987.9647290012
1163893.4500000004,483403.94313489576,680489.5068651047,680489.5068651047
790951.7800000005,111170.27993309325,679781.5000669073,679781.5000669073
957313.37,278185.84940813313,679127.5205918669,679127.5205918669
1047312.2599999992,368956.6398869696,678355.6201130296,678355.6201130296
1389061.400000001,710859.9336472973,678201.4663527037,678201.4663527037
1310073.730000001,633867.3642535438,676206.3657464571,676206.3657464571
274439.66,949138.1874844135,-674698.5274844135,674698.5274844135
1142715.2200000002,468831.0850810055,673884.1349189947,673884.1349189947
931892.0900000004,258330.11721733582,673561.9727826646,673561.9727826646
1144764.1000000008,473239.6142384317,671524.4857615691,671524.4857615691
