actual,predicted,error,abs_error
3540.0100000000025,12301.821364520283,-8761.811364520281,8761.811364520281
151987.5500000001,198594.52677901371,-46606.97677901361,46606.97677901361
125400.24000000003,69986.08020055103,55414.159799449,55414.159799449
49136.92000000004,47283.827013638234,1853.0929863618076,1853.0929863618076
4005.3600000000033,5780.2449577038915,-1774.8849577038882,1774.8849577038882
61060.040000000045,43713.207385022644,17346.8326149774,17346.8326149774
18901.020000000015,20450.07191652135,-1549.0519165213336,1549.0519165213336
230990.6699999998,34767.81959600169,196222.8504039981,196222.8504039981
45620.99999999997,42337.00698260193,3283.9930173980392,3283.9930173980392
18807.360000000004,9549.382159081491,9257.977840918513,9257.977840918513
26101.20000000002,33134.20778704171,-7033.0077870416935,7033.0077870416935
9646.079999999996,8833.414497769147,812.6655022308496,812.6655022308496
